Time (Sec);S10;S11;S12;S13;S18;S5;S6;S8;S9;
0.0;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19160.0;19160.0;
0.9999999999999999;19159.993535399997;19159.993535399997;19159.993535399997;19159.993535399997;19159.9958816;19159.995494599996;19159.995494599996;19159.993535399997;19159.993535399997;
1.0041306666666667;19159.993535399997;19159.993535399997;19159.993535399997;19159.993535399997;19159.9958816;19159.995394599995;19159.995394599995;19159.993535399997;19159.993535399997;
1.004964;19159.993535399997;19159.993535399997;19159.993535399997;19159.993535399997;19159.9958816;19159.991132199993;19159.991132199993;19159.993535399997;19159.993535399997;
1.0081013333333333;19159.993535399997;19159.993535399997;19159.991476199997;19159.993535399997;19159.9958816;19159.991132199993;19159.991132199993;19159.991476199997;19159.993535399997;
1.0082613333333332;19159.993535399997;19159.993535399997;19159.991476199997;19159.993535399997;19159.9958816;19159.990989199992;19159.990989199992;19159.991476199997;19159.993535399997;
1.0089346666666665;19159.993535399997;19159.993535399997;19159.987213799996;19159.993535399997;19159.9958816;19159.990989199992;19159.990989199992;19159.987213799996;19159.993535399997;
1.0120719999999999;19159.993535399997;19159.993535399997;19159.987213799996;19159.991476199997;19159.9958816;19159.990989199992;19159.990989199992;19159.987213799996;19159.991476199997;
1.0122319999999998;19159.993535399997;19159.993535399997;19159.987070799994;19159.991476199997;19159.9958816;19159.990989199992;19159.990989199992;19159.987070799994;19159.991476199997;
1.012905333333333;19159.993535399997;19159.993535399997;19159.987070799994;19159.987213799996;19159.9958816;19159.990989199992;19159.990989199992;19159.987070799994;19159.987213799996;
1.0160426666666664;19159.991476199997;19159.993535399997;19159.987070799994;19159.987213799996;19159.9938224;19159.990989199992;19159.990989199992;19159.987070799994;19159.987213799996;
1.9999999999999993;19159.987070799994;19159.987070799994;19159.987070799994;19159.987070799994;19159.9917632;19159.990989199992;19159.990989199992;19159.987070799994;19159.987070799994;
2.0082613333333326;19159.987070799994;19159.987070799994;19159.987070799994;19159.987070799994;19159.9917632;19159.99088919999;19159.99088919999;19159.987070799994;19159.987070799994;
2.009094666666666;19159.987070799994;19159.987070799994;19159.987070799994;19159.987070799994;19159.9917632;19159.98662679999;19159.98662679999;19159.987070799994;19159.987070799994;
2.0122319999999996;19159.987070799994;19159.987070799994;19159.985011599994;19159.987070799994;19159.9917632;19159.98662679999;19159.98662679999;19159.985011599994;19159.987070799994;
2.0123919999999997;19159.987070799994;19159.987070799994;19159.985011599994;19159.987070799994;19159.9917632;19159.98648379999;19159.98648379999;19159.985011599994;19159.987070799994;
2.013065333333333;19159.987070799994;19159.987070799994;19159.980749199993;19159.987070799994;19159.9917632;19159.98648379999;19159.98648379999;19159.980749199993;19159.987070799994;
2.0162026666666666;19159.987070799994;19159.987070799994;19159.980749199993;19159.985011599994;19159.9917632;19159.98648379999;19159.98648379999;19159.980749199993;19159.985011599994;
2.0163626666666667;19159.987070799994;19159.987070799994;19159.98060619999;19159.985011599994;19159.9917632;19159.98648379999;19159.98648379999;19159.98060619999;19159.985011599994;
2.017036;19159.987070799994;19159.987070799994;19159.98060619999;19159.980749199993;19159.9917632;19159.98648379999;19159.98648379999;19159.98060619999;19159.980749199993;
2.0201733333333336;19159.985011599994;19159.987070799994;19159.98060619999;19159.980749199993;19159.989704;19159.98648379999;19159.98648379999;19159.98060619999;19159.980749199993;
3.000000000000001;19159.98060619999;19159.98060619999;19159.98060619999;19159.98060619999;19159.9876448;19159.98648379999;19159.98648379999;19159.98060619999;19159.98060619999;
3.012392000000001;19159.98060619999;19159.98060619999;19159.98060619999;19159.98060619999;19159.9876448;19159.986383799987;19159.986383799987;19159.98060619999;19159.98060619999;
3.0132253333333345;19159.98060619999;19159.98060619999;19159.98060619999;19159.98060619999;19159.9876448;19159.982121399986;19159.982121399986;19159.98060619999;19159.98060619999;
3.016362666666668;19159.98060619999;19159.98060619999;19159.97854699999;19159.98060619999;19159.9876448;19159.982121399986;19159.982121399986;19159.97854699999;19159.98060619999;
